event_id,event_title,date,description,region,agreement_check,agreement_link,event_type,subject_type,subject_topic,subject_story,organizer_type,organizer_name,detentions,ovd,place,links
398,Акция «Сочи — пир во время чумы»,2014-02-05,В Москве у здания Олимпийского комитета активисты развернули баннер «Сочи — пир во время чумы» и зажгли файеры. Три человека были задержаны и доставлены в ОВД Хамовники.,['recPrDrobUuRrCB6x'],,,акция,политический протест,против власти,Олимпийские игры в Сочи,активистский протест,,3,"['recQtuofPNhEf8F6r', 'recaeLH9fTcuRfIZ6']","у здания Олимпийского комитета, Лужнецкая набережная, 8","http://ovdinfo.org/express-news/2014/02/05/u-olimpiyskogo-komiteta-zaderzhali-zhurnalista, http://ovdinfo.org/content/sochi-pir-vo-vremya-chumy"
396,Акция «Berlin 1936 = Sochi 2014»,2014-02-05,Петербургские ЛГБТ-активисты задержаны в метро с воздушными шарами.,['recs8CXZcUBPl95yA'],,,акция,групповой протест,против власти,Олимпийские игры в Сочи,институциональный протест,['rece3iCUDzJWKDw2b'],2,,,http://www.zaks.ru/new/archive/view/121548
397,Одиночный пикеты у здания Замоскворецкого суда во время последнего слова фигурантов «Болотного дела»,2014-02-05,,['recPrDrobUuRrCB6x'],,,одиночный пикет,политический протест,политзаключенные,Болотное дело,активистский протест,,2,,"у здания Замоскворецкого районного суда, Татарская ул., 1",http://ovdinfo.org/node/8069
399,Стратегия-6,2014-02-06,Народный сход 6 февраля в поддержку узников 6 мая.,['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,Болотное дело,институциональный протест,['reckIDN9MSFn5VztY'],37,"['recuI001EdVNovK9e', 'reccMao3IjfHm9lKZ', 'recOFgBnhdzcJFbQz', 'recQtuofPNhEf8F6r']",Манежная площадь,"http://ovdinfo.org/express-news/2014/02/07/iz-37-zaderzhannyh-na-strategii-6-v-ovd-ostalsya-odin, http://ovdinfo.org/express-news/2014/02/06/sem-chelovek-iz-hamovnikov-perevezeny-na-arbat, http://ovdinfo.org/express-news/2014/02/06/na-dannyy-moment-izvestno-o-37-zaderzhaniyah-na-manezhnoy-ploshchadi, http://ovdinfo.org/express-news/2014/02/06/pyat-chelovek-v-techenie-chasa-nahodyatsya-v-avtobuse-u-ovd-meshchanskiy, http://ovdinfo.org/express-news/2014/02/06/eshche-14-chelovek-zaderzhali-na-manezhnoy-ploshchadi, http://ovdinfo.org/express-news/2014/02/06/prodolzhayutsya-zaderzhaniya-na-manezhnoy-ploshchadi, http://ovdinfo.org/express-news/2014/02/06/na-manezhnoy-ploshchadi-massovo-zaderzhali-aktivistov"
401,Акция «Долой геноцидную Олимпиаду в Сочи»,2014-02-07,"Около гостиницы Националь в Москве прошла акция против Олимпиады. Задержано 12 человек, большинство - случайные прохожие.",['recPrDrobUuRrCB6x'],,,акция,политический протест,против власти,Олимпийские игры в Сочи,активистский протест,,14,['reccMao3IjfHm9lKZ'],"у здания гостиницы «Националь», Моховая ул., д. 15/1","http://ovdinfo.org/express-news/2014/02/07/zhurnalist-otpushchen-iz-basmannogo-ovd-so-shtrafom-v-500-rubley, http://ovdinfo.org/express-news/2014/02/07/iz-basmannogo-ovd-otpushcheny-vse-zaderzhannye-krome-zhurnalista, http://ovdinfo.org/express-news/2014/02/07/u-gostinicy-nacional-zaderzhana-takzhe-grazhdanka-italii, http://ovdinfo.org/express-news/2014/02/07/13-chelovek-zaderzhano-na-akcii-protiv-olimpiady-bolshinstvo-iz-nih"
400,Акция «Нет воровской олимпиаде в стране политических репрессий»,2014-02-07,"Гражданские активисты провели на станции Комсомольская акцию протеста, развернув баннер «Нет воровской Олимпиаде в стране политических репрессий». Задержаны двое, включая журналиста, снимавшего акцию.",['recPrDrobUuRrCB6x'],,,акция,политический протест,против власти,Олимпийские игры в Сочи,активистский протест,,2,['recx09M1DMTZLf4FT'],станция метро Комсомольская,"http://ovdinfo.org/express-news/2014/02/07/aktivistka-zaderzhannaya-segodnya-v-metro-vyshla-na-svobodu, http://ovdinfo.org/express-news/2014/02/07/zhurnalist-izdaniya-graniru-vyshel-na-svobodu, http://ovdinfo.org/express-news/2014/02/07/zaderzhannyh-v-metro-perevozyat-v-krasnoselskoe-ovd, http://ovdinfo.org/express-news/2014/02/07/na-komsomolskoy-takzhe-zaderzhan-zhurnalist-snimavshiy-akciyu, http://ovdinfo.org/express-news/2014/02/07/v-metro-zaderzhali-aktivistku-na-akcii-protiv-olimpiady"
402,Гимн России в исполнении ЛГБТ активистов на Красной площади,2014-02-07,"На Красной площади ровно в 20:14, время начала церемонии открытии Олимпиады в Сочи, ЛГБТ-активисты попытались развернуть радужные флаги и спеть гимн. Задержано 10 человек.",['recPrDrobUuRrCB6x'],,,акция,групповой протест,против власти,Олимпийские игры в Сочи,активистский протест,,10,['recejBsL4BHeWptpU'],Красная площадь,"http://ovdinfo.org/express-news/2014/02/07/lgbt-aktivisty-otpushcheny-iz-ovd-kitay-gorod, http://ovdinfo.org/express-news/2014/02/07/dvuh-aktivistov-zaderzhannyh-na-krasnoy-ploshchadi-izbili-i-prikovali, http://ovdinfo.org/express-news/2014/02/07/dvuh-grazhdanok-shvecii-otpustili-iz-ovd-kitay-gorod, http://ovdinfo.org/express-news/2014/02/07/lgbt-aktivisty-zaderzhany-na-krasnoy-ploshchadi-pri-popytke-spet-gimn-rossii"
404,Сбор подписей у администрации президента за освобождение «узников 6 мая»,2014-02-07,"Впервые за два с половиной месяца задержаны активисты, собирающие у администрации президента на Ильинке подписи за освобождение узников 6 мая. Задержано 3 человека.",['recPrDrobUuRrCB6x'],,,акция,политический протест,политзаключенные,Болотное дело,активистский протест,,3,['recejBsL4BHeWptpU'],"у здания приемной Администрации президента, ул Ильинка, 23","http://ovdinfo.org/express-news/2014/02/07/zaderzhannye-vo-vremya-sbora-podpisey-otpushcheny-iz-ovd-kitay-gorod, http://ovdinfo.org/express-news/2014/02/07/vpervye-zaderzhany-aktivisty-sobirayushchie-podpisi-za-osvobozhdenie-uznikov"
403,Акция «Любая форма дискриминации … несовместима с принадлежностью к олимпийскому движению»,2014-02-07,"ЛГБТ-активисты задержаны, не успев дойти до места акции.
",['recs8CXZcUBPl95yA'],,,акция,групповой протест,гендерные права,Олимпийские игры в Сочи,институциональный протест,['recehn9uXHlrdr1cm'],4,['recplPCpWVrn2Kf5A'],Стрелка Васильевского острова,http://ovdinfo.org/node/8106; http://www.fontanka.ru/2014/02/07/119/
407,Акция «Олимпиада на крови»,2014-02-08,"Под таким лозунгом зоозащитники провели акцию на Манежной площади у олимпийских часов, напомнив об уничтожении бродячих собак перед играми. Задержан один человек.",['recPrDrobUuRrCB6x'],,,акция,политический протест,экология,Олимпийские игры в Сочи,институциональный протест,['recPIOPvDUcKmbsbZ'],1,['recejBsL4BHeWptpU'],Манежная площадь,"http://ovdinfo.org/express-news/2014/02/08/zoozashchitnik-provodivshiy-akciyu-protiv-olimpiady-vyshel-na-svobodu, http://ovdinfo.org/express-news/2014/02/08/u-olimpiyskih-chasov-zaderzhan-zoozashchitnik, http://www.youtube.com/watch?v=UN1dU8MhDqI, http://www.allianceforanimals.ru/olimpiada-na-krovi-08-02-2014/"
